"","Province","Region","Product","SubProduct","Finance","Segment","Purpose","InstallmentType","Performa","Provision","ClassPercent","TotalAc","classification"
"3386","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3387","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3388","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3389","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3390","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3391","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3392","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3393","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3394","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3395","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3396","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3397","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3460","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","0","3","50","1","DOUBTFUL"
"3461","Punjab","3","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3462","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3463","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3464","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3465","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3466","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3467","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3468","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3469","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3470","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3471","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3472","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3473","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3474","Punjab","3","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3475","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3476","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3477","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3478","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3479","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3480","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3481","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3482","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3483","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3484","Punjab","3","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","10","1","0","1","OAEM"
"3486","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3487","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3488","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3489","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3490","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3491","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3492","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3493","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3494","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3495","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3496","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3497","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3498","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3499","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3500","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3501","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3502","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3503","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3504","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3505","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3506","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3507","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3508","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3509","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3510","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3511","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3512","Punjab","3","consumer","gold loan","demand finance gold a/c.","individuals","working capital","annually","2","1","50","1","DOUBTFUL"
"3519","Punjab","4","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture","working capital","monthly","0","3","50","2","DOUBTFUL"
"3520","Punjab","4","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture","working capital","monthly","0","2","20","1","SUB/STANDARD"
"3521","Punjab","4","agriculture","live stock","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","2","20","1","SUB/STANDARD"
"3524","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3525","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (development)","working capital","annually","0","1","0","1","OAEM"
"3526","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (development)","working capital","annually","0","1","0","1","OAEM"
"3527","Punjab","4","agriculture","farm developmental finance","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3528","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3531","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","2","20","1","SUB/STANDARD"
"3532","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","3","20","1","SUB/STANDARD"
"3533","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3534","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3535","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3536","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3537","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3538","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3539","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3540","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3541","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3542","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3543","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3544","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3545","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3550","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3551","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3553","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3554","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3555","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3556","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3557","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3558","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3563","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3565","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3566","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3567","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3568","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3569","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3570","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3571","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3572","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3573","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3574","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3575","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","0","3","20","1","SUB/STANDARD"
"3576","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","3","20","1","SUB/STANDARD"
"3577","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3578","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3581","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","3","50","1","DOUBTFUL"
"3582","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (development)","working capital","annually","0","3","20","1","SUB/STANDARD"
"3588","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3589","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","3","50","1","DOUBTFUL"
"3590","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","3","20","1","SUB/STANDARD"
"3591","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","3","20","1","SUB/STANDARD"
"3592","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","3","20","1","SUB/STANDARD"
"3593","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","3","20","1","SUB/STANDARD"
"3594","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","3","20","1","SUB/STANDARD"
"3595","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","2","20","1","SUB/STANDARD"
"3596","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","2","20","1","SUB/STANDARD"
"3597","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","quarterly","0","2","20","1","SUB/STANDARD"
"3598","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (development)","working capital","quarterly","0","4","20","1","SUB/STANDARD"
"3599","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","2","20","1","SUB/STANDARD"
"3600","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3601","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3602","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3603","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3604","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3605","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3606","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3611","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","0","3","20","1","SUB/STANDARD"
"3612","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3613","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3615","Punjab","4","agriculture","purchase of machinery / equipments","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","3","20","1","SUB/STANDARD"
"3616","Punjab","4","agriculture","purchase of machinery / equipments","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","3","20","1","SUB/STANDARD"
"3617","Punjab","4","agriculture","purchase of machinery / equipments","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","3","20","1","SUB/STANDARD"
"3619","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3620","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3621","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3622","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3623","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3624","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3626","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (gold)","working capital","lumpsum","0","1","0","1","OAEM"
"3627","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (gold)","working capital","lumpsum","0","1","0","1","OAEM"
"3628","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3629","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3630","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3636","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3641","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3642","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3643","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3644","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3645","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3646","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3648","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3664","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","2","20","1","SUB/STANDARD"
"3665","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","2","20","1","SUB/STANDARD"
"3666","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","2","20","1","SUB/STANDARD"
"3667","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","3","20","1","SUB/STANDARD"
"3668","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","3","20","1","SUB/STANDARD"
"3669","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","2","20","1","SUB/STANDARD"
"3671","Punjab","4","agriculture","farm developmental finance","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","1","1","0","1","OAEM"
"3672","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3673","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3674","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3675","Punjab","4","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3676","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3677","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3678","Punjab","4","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","lumpsum","0","1","0","1","OAEM"
"3679","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture","working capital","monthly","0","4","50","1","DOUBTFUL"
"3680","Punjab","4","agriculture","purchase of machinery / equipments","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3681","Punjab","4","agriculture","farm credit for inputs","agriculture credit a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3684","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3685","Punjab","5","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","0","1","50","1","DOUBTFUL"
"3689","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3691","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3695","Punjab","5","sme","small enterprise","cash finance a/c.","general trader","working capital","annually","0","4","50","1","DOUBTFUL"
"3696","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3699","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3700","Punjab","5","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","0","1","50","1","DOUBTFUL"
"3704","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3705","Punjab","5","sme","small enterprise","demand finance sme a/c.","oil refinery","fixed investments","quarterly","0","6","25","1","SUB/STANDARD"
"3709","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3713","Punjab","5","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (development)","fixed investments","annually","0","3","50","1","DOUBTFUL"
"3715","Punjab","5","agriculture","farm developmental finance","agriculture finance a/c","agri business/agriculture (development)","fixed investments","annually","0","3","50","1","DOUBTFUL"
"3720","Punjab","5","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","0","2","20","1","SUB/STANDARD"
"3721","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3722","Punjab","5","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","0","1","50","2","DOUBTFUL"
"3726","Punjab","5","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","0","1","50","2","DOUBTFUL"
"3727","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","4","50","1","DOUBTFUL"
"3728","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3731","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3732","Punjab","5","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","0","1","50","2","DOUBTFUL"
"3742","Punjab","5","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3743","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3746","Punjab","5","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","0","1","50","2","DOUBTFUL"
"3748","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3750","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3751","Punjab","5","agriculture","farm credit for inputs","agriculture finance a/c","agri business/agriculture (production)","working capital","annually","0","1","0","1","OAEM"
"3756","Punjab","5","agriculture","farm credit for inputs","agriculture finance gold a/c.","agri business/agriculture (production)","working capital","annually","0","1","0","2","OAEM"
"3757","Punjab","5","consumer","gold loan","demand finance gold a/c.","others","working capital","annually","0","1","50","2","DOUBTFUL"
